Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;Power (kW)
0;0.6;0.663466417;1700000;70.0962;0.94254;0.88997;0.99984;7.8282;0.11916;0.3308156;-10;14.925;653.3;0.016916;790.78;;;1700
0;0.6;0.741521289;1900000;68.9835;0.95922;0.91893;0.99995;8.2455;0.13107;0.3361521;-10;15.922;663.21;0.017662;1003.38;;;1900
0;0.6;0.819576162;2100000;68.1456;0.97471;0.94155;1;8.6683;0.14311;0.3402849;-10;16.923;672.12;0.018346;1231.82;;;2100
0;0.6;0.897631035;2300000;67.6094;0.98895;0.96335;1.0001;9.0872;0.1555;0.3429838;-10;17.929;680.7;0.019016;1478.5;;;2300
0;0.6;0.975685907;2500000;67.3774;1.0006;0.98712;1.0002;9.4819;0.16844;0.344165;-10;18.915;689.72;0.019741;1739.62;;;2500
0;0.6;1.05374078;2700000;67.3649;1.0126;1.008;1.0003;9.8602;0.18189;0.3442289;-10;19.89;699.01;0.020498;2015.23;;;2700
1000;0;0.04820938;100020;254.055;0.70101;0.37754;0.99701;2.4509;0.025411;0.0912752;-10;3.9597;465.97;0.01152;246.04;;;100.02
1000;0;0.144608859;300020;133.599;0.79676;0.57903;0.99811;3.6463;0.040082;0.1735712;-10;6.162;527.56;0.012214;534.98;;;300.02
1000;0;0.241003519;500010;104.4942;0.83411;0.69426;0.99862;4.4121;0.052248;0.221916;-10;7.673;556.08;0.013158;788.14;;;500.01
1000;0;0.337398178;700000;91.559;0.86454;0.77902;0.99895;5.0022;0.064091;0.2532677;-10;8.9249;577.67;0.014236;1032.07;;;700
1000;0;0.433797657;900000;84.083;0.88814;0.83253;0.9992;5.5136;0.075675;0.2757862;-10;10.046;594.12;0.01525;1277.05;;;900
1000;0;0.530197137;1100000;79.2879;0.91131;0.87576;0.9994;5.9808;0.087217;0.2924651;-10;11.098;608.15;0.016203;1529.11;;;1100
1000;0;0.626596616;1300000;75.9336;0.93275;0.90691;0.99957;6.4307;0.098714;0.3053841;-10;12.119;619.99;0.017056;1793.35;;;1300
1000;0;0.722996096;1500000;73.7322;0.95149;0.9393;0.99971;6.8605;0.1106;0.3145023;-10;13.121;631.48;0.017912;2073.21;;;1500
1000;0;0.819395575;1700000;72.4451;0.96795;0.96745;0.99984;7.2525;0.12316;0.3200899;-10;14.09;643.79;0.018868;2364.25;;;1700
1000;0;0.915795055;1900000;71.6733;0.98429;0.99294;0.99995;7.628;0.13618;0.3235367;-10;15.046;656;0.019836;2669.88;;;1900
1000;0;1.012194534;2100000;71.2355;1.0001;1.0199;1;7.9971;0.14959;0.3255248;-10;16.002;667.82;0.020784;2992.07;;;2100
1000;0.2;0.047384878;100020;250.0875;0.69735;0.37324;0.99701;2.4713;0.025014;0.0927233;-10;3.9741;466.29;0.011247;83.9;;;100.02
1000;0.2;0.142135683;300020;132.4969;0.79512;0.56952;0.99811;3.6573;0.039751;0.1750149;-10;6.1705;528.58;0.012077;294.19;;;300.02
1000;0.2;0.236881751;500010;103.5802;0.83157;0.6853;0.99862;4.4295;0.051791;0.2238742;-10;7.6869;556.71;0.012991;497.18;;;500.01
1000;0.2;0.331627819;700000;90.857;0.863;0.77068;0.99895;5.0193;0.0636;0.2552244;-10;8.939;578.4;0.014079;702.27;;;700
1000;0.2;0.426378624;900000;83.51;0.88634;0.82474;0.9992;5.5304;0.075159;0.2776784;-10;10.061;594.95;0.0151;913.68;;;900
1000;0.2;0.52112943;1100000;78.7851;0.90878;0.8679;0.9994;5.9986;0.086664;0.2943315;-10;11.114;608.95;0.016052;1135.2;;;1100
1000;0.2;0.615880235;1300000;75.524;0.93038;0.9016;0.99957;6.4453;0.098181;0.3070407;-10;12.132;621.08;0.016926;1369.63;;;1300
1000;0.2;0.71063104;1500000;73.2789;0.95007;0.93196;0.99971;6.8837;0.10992;0.3164474;-10;13.143;632.13;0.017742;1622.19;;;1500
1000;0.2;0.805381846;1700000;71.9424;0.96578;0.96193;0.99984;7.2864;0.1223;0.3223263;-10;14.122;643.91;0.01865;1888.94;;;1700
1000;0.2;0.900132651;1900000;71.2056;0.98205;0.98679;0.99995;7.663;0.13529;0.3256615;-10;15.08;656.12;0.019617;2170.48;;;1900
1000;0.2;0.994883457;2100000;70.7885;0.99773;1.0127;1;8.0339;0.14866;0.3275803;-10;16.039;667.88;0.020559;2468.99;;;2100
1000;0.2;1.089634262;2300000;70.5971;1.013;1.0393;1.0001;8.3974;0.16237;0.3284685;-10;16.993;679.28;0.021485;2782.16;;;2300
1000;0.4;0.135217235;300020;128.906;0.78924;0.54324;0.99811;3.6964;0.038674;0.1798902;-10;6.2004;531.23;0.011625;50.58;;;300.02
1000;0.4;0.225351541;500010;100.8485;0.82469;0.6609;0.99862;4.4812;0.050425;0.2299382;-10;7.7279;558.7;0.012503;202.84;;;500.01
1000;0.4;0.315485848;700000;88.7121;0.8565;0.73968;0.99895;5.0725;0.062099;0.2613953;-10;8.9819;580.33;0.013602;369.53;;;700
1000;0.4;0.405624662;900000;81.7474;0.88146;0.80041;0.9992;5.5834;0.073573;0.2836658;-10;10.106;597.31;0.014641;547.86;;;900
1000;0.4;0.495763476;1100000;77.2562;0.90219;0.84492;0.9994;6.0532;0.084982;0.3001564;-10;11.163;611.35;0.0156;739.2;;;1100
1000;0.4;0.58590229;1300000;74.2167;0.92312;0.88283;0.99957;6.4963;0.096482;0.3124488;-10;12.18;623.91;0.016502;944.85;;;1300
1000;0.4;0.676041103;1500000;72.0958;0.94297;0.91321;0.99971;6.9358;0.10814;0.3216405;-10;13.193;635.13;0.017325;1169.31;;;1500
1000;0.4;0.766179917;1700000;70.6116;0.96104;0.94127;0.99984;7.3664;0.12004;0.3284012;-10;14.198;645.52;0.018106;1411.31;;;1700
1000;0.4;0.856318731;1900000;69.7884;0.97558;0.97006;0.99995;7.7696;0.1326;0.3322748;-10;15.184;656.52;0.018963;1671.24;;;1900
1000;0.4;0.946457545;2100000;69.4464;0.99095;0.99344;1;8.1449;0.14584;0.3339112;-10;16.148;668.16;0.019895;1947.21;;;2100
1000;0.4;1.036596358;2300000;69.3037;1.0057;1.0174;1.0001;8.515;0.1594;0.3345989;-10;17.112;679.35;0.0208;2238.69;;;2300
1000;0.6;0.29154519;700000;84.9762;0.84497;0.69166;0.99895;5.1696;0.059483;0.2728873;-10;9.0603;583.34;0.012787;25.97;;;700
1000;0.6;0.374843815;900000;78.6666;0.87185;0.75319;0.9992;5.6793;0.0708;0.2947748;-10;10.187;600.68;0.013852;171.8;;;900
1000;0.6;0.458142441;1100000;74.6235;0.89423;0.80518;0.9994;6.1494;0.082086;0.3107459;-10;11.247;615.3;0.014833;333.45;;;1100
1000;0.6;0.541441066;1300000;71.8774;0.91253;0.84525;0.99957;6.5949;0.093441;0.3226178;-10;12.269;627.92;0.015746;510.95;;;1300
1000;0.6;0.624739692;1500000;70.0311;0.93087;0.8803;0.99971;7.0315;0.10505;0.3311233;-10;13.283;639.58;0.016601;708.29;;;1500
1000;0.6;0.708038317;1700000;68.738;0.9495;0.91274;0.99984;7.4569;0.11685;0.3373523;-10;14.286;650.52;0.017412;922.64;;;1700
1000;0.6;0.791336943;1900000;67.8327;0.96672;0.93671;0.99995;7.8907;0.12888;0.3418546;-10;15.302;660.23;0.01815;1157.24;;;1900
1000;0.6;0.874635569;2100000;67.3325;0.9819;0.96252;1;8.3099;0.1414;0.3443941;-10;16.311;669.99;0.018908;1411.06;;;2100
1000;0.6;0.957934194;2300000;67.1451;0.99493;0.98844;1.0001;8.7093;0.15443;0.3453554;-10;17.306;680;0.019704;1681.31;;;2300
1000;0.6;1.04123282;2500000;67.2719;1.0089;1.0096;1.0002;9.0824;0.16818;0.3447047;-10;18.283;690.68;0.020576;1967.34;;;2500
2000;0;0.051450617;100020;238.5235;0.7021;0.38957;0.99701;2.274;0.023857;0.0972186;-10;3.6761;462.78;0.011657;237.3;;;100.02
2000;0;0.154331276;300020;125.7748;0.79182;0.60054;0.99811;3.4151;0.037734;0.1843686;-10;5.761;522.25;0.012277;521.66;;;300.02
2000;0;0.25720679;500010;99.535;0.8333;0.72027;0.99862;4.1358;0.049768;0.2329726;-10;7.2014;552.04;0.01337;774.07;;;500.01
2000;0;0.360082305;700000;87.6928;0.86421;0.79773;0.99895;4.7003;0.061385;0.2644337;-10;8.4009;573.26;0.014511;1019.47;;;700
2000;0;0.462962963;900000;80.9312;0.88998;0.8499;0.9992;5.1969;0.072838;0.2865265;-10;9.4914;589.85;0.015573;1270.1;;;900
2000;0;0.565843621;1100000;76.6482;0.91525;0.88935;0.9994;5.659;0.084313;0.3025373;-10;10.528;603.83;0.016555;1532.37;;;1100
2000;0;0.66872428;1300000;73.8366;0.93771;0.92523;0.99957;6.1066;0.095988;0.3140575;-10;11.547;616.43;0.017465;1812.61;;;1300
2000;0;0.771604938;1500000;72.2807;0.95625;0.95711;0.99971;6.5075;0.10842;0.3208178;-10;12.525;630.13;0.018512;2104.82;;;1500
2000;0;0.874485597;1700000;71.4209;0.97467;0.98613;0.99984;6.8907;0.12142;0.3246801;-10;13.492;643.76;0.019578;2414.88;;;1700
2000;0;0.977366255;1900000;70.9571;0.99237;1.0165;0.99995;7.2669;0.13482;0.326802;-10;14.457;656.84;0.020615;2743.25;;;1900
2000;0;1.080246914;2100000;70.7886;1.0097;1.0487;1;7.6337;0.14866;0.32758;-10;15.419;669.58;0.021638;3087.68;;;2100
2000;0.2;0.050571342;100020;235.094;0.69838;0.38488;0.99701;2.2912;0.023514;0.0986369;-10;3.688;463.09;0.011403;88.7;;;100.02
2000;0.2;0.151693801;300020;124.7527;0.79012;0.59088;0.99811;3.4258;0.037428;0.1858791;-10;5.7694;523.18;0.012139;298.93;;;300.02
2000;0.2;0.252811204;500010;98.724;0.83083;0.70853;0.99862;4.1509;0.049362;0.2348865;-10;7.2125;552.62;0.013214;504.52;;;500.01
2000;0.2;0.353928608;700000;87.0661;0.86268;0.78911;0.99895;4.7152;0.060946;0.2663372;-10;8.4132;574.04;0.014362;713.29;;;700
2000;0.2;0.455051067;900000;80.4093;0.88776;0.84243;0.9992;5.2125;0.072368;0.2883862;-10;9.5051;590.64;0.015426;931.89;;;900
2000;0.2;0.556173526;1100000;76.2263;0.91294;0.88425;0.9994;5.6723;0.083849;0.3042115;-10;10.54;604.87;0.016425;1163.95;;;1100
2000;0.2;0.657295985;1300000;73.4061;0.93587;0.91792;0.99957;6.1255;0.095428;0.3158993;-10;11.565;617.19;0.01731;1415.85;;;1300
2000;0.2;0.758418445;1500000;71.7816;0.95412;0.95166;0.99971;6.5379;0.10767;0.3230486;-10;12.554;630.25;0.018299;1683.45;;;1500
2000;0.2;0.859540904;1700000;70.9579;0.97241;0.97966;0.99984;6.9229;0.12063;0.3267985;-10;13.523;643.83;0.019361;1969.39;;;1700
2000;0.2;0.960663363;1900000;70.5241;0.98998;1.0092;0.99995;7.3003;0.134;0.3288087;-10;14.491;656.87;0.020395;2273.97;;;1900
2000;0.2;1.061785823;2100000;70.3716;1.0071;1.0401;1;7.6697;0.14778;0.329521;-10;15.455;669.51;0.021409;2595.54;;;2100
2000;0.4;0.14444177;300020;121.6821;0.78482;0.5629;0.99811;3.457;0.036506;0.1905698;-10;5.7928;525.98;0.011734;73.8;;;300.02
2000;0.4;0.240725049;500010;96.2372;0.82373;0.67938;0.99862;4.1988;0.048119;0.2409559;-10;7.2506;554.42;0.012733;232.35;;;500.01
2000;0.4;0.337008329;700000;85.1664;0.85802;0.7629;0.99895;4.762;0.059617;0.2722778;-10;8.4531;576.21;0.013908;405.16;;;700
2000;0.4;0.433296423;900000;78.8399;0.88254;0.81946;0.9992;5.259;0.070956;0.2941267;-10;9.5457;593.1;0.014992;591.68;;;900
2000;0.4;0.529584517;1100000;74.8697;0.90573;0.86374;0.9994;5.7198;0.082357;0.3097239;-10;10.584;607.43;0.015998;794.6;;;1100
2000;0.4;0.625872611;1300000;72.255;0.92855;0.89987;0.99957;6.169;0.093932;0.3209317;-10;11.607;620.26;0.016918;1017.62;;;1300
2000;0.4;0.722160705;1500000;70.4565;0.94937;0.93151;0.99971;6.6106;0.10568;0.3291241;-10;12.622;631.76;0.017763;1260.22;;;1500
2000;0.4;0.818448799;1700000;69.5721;0.96604;0.96292;0.99984;7.0183;0.11827;0.3333081;-10;13.615;644.24;0.018724;1524.07;;;1700
2000;0.4;0.914736893;1900000;69.213;0.98319;0.9892;0.99995;7.4012;0.1315;0.3350373;-10;14.59;657.09;0.019742;1806.17;;;1900
2000;0.4;1.011024987;2100000;69.1102;0.99971;1.0168;1;7.7774;0.14513;0.3355356;-10;15.564;669.47;0.020734;2105.94;;;2100
2000;0.6;0.312318744;700000;81.8369;0.84619;0.70973;0.99895;4.8474;0.057286;0.2833554;-10;8.521;579.07;0.013131;87.51;;;700
2000;0.6;0.40155267;900000;76.1071;0.87516;0.77807;0.9992;5.3436;0.068496;0.304688;-10;9.6194;596.82;0.014241;243.32;;;900
2000;0.6;0.490786597;1100000;72.5024;0.89642;0.82675;0.9994;5.8063;0.079753;0.3198368;-10;10.661;611.4;0.015262;417.15;;;1100
2000;0.6;0.580020524;1300000;70.1766;0.91673;0.86678;0.99957;6.2557;0.09123;0.330437;-10;11.689;624.52;0.016204;612.57;;;1300
2000;0.6;0.669254451;1500000;68.6478;0.93775;0.90347;0.99971;6.6905;0.10297;0.3377959;-10;12.703;636.8;0.017099;828.22;;;1500
2000;0.6;0.758488377;1700000;67.5963;0.95703;0.92981;0.99984;7.1341;0.11491;0.3430501;-10;13.727;647.49;0.0179;1065.53;;;1700
2000;0.6;0.847722304;1900000;67.0966;0.97371;0.9599;0.99995;7.5582;0.12748;0.3456053;-10;14.745;658.47;0.018742;1325.94;;;1900
2000;0.6;0.936956231;2100000;67.0193;0.98893;0.9866;1;7.9542;0.14074;0.3460038;-10;15.742;670.05;0.01966;1604.56;;;2100
2000;0.6;1.026190157;2300000;67.2211;1.0043;1.0103;1.0001;8.3362;0.15461;0.3449649;-10;16.734;681.8;0.020608;1904.02;;;2300
3000;0;0.055077093;100020;224.1818;0.7013;0.40199;0.99701;2.1032;0.022423;0.103438;-10;3.4049;459.54;0.011846;228.53;;;100.02
3000;0;0.165209251;300020;118.6982;0.78748;0.62269;0.99811;3.1932;0.035611;0.1953604;-10;5.3823;517.3;0.012393;509.27;;;300.02
3000;0;0.275335903;500010;94.9227;0.83313;0.7421;0.99862;3.8679;0.047462;0.2442928;-10;6.7458;547.64;0.013635;759.75;;;500.01
3000;0;0.385462555;700000;84.147;0.86478;0.8141;0.99895;4.4131;0.058903;0.2755765;-10;7.9058;568.81;0.014831;1009.19;;;700
3000;0;0.495594714;900000;78.1058;0.89357;0.86666;0.9992;4.899;0.070295;0.2968913;-10;8.9738;585.67;0.015944;1268.29;;;900
3000;0;0.605726872;1100000;74.3342;0.92031;0.90591;0.9994;5.3657;0.081768;0.3119549;-10;10.012;599.83;0.016933;1546.31;;;1100
3000;0;0.715859031;1300000;72.2805;0.94213;0.94342;0.99957;5.7844;0.093965;0.3208188;-10;11.007;614.86;0.01805;1839.12;;;1300
3000;0;0.825991189;1500000;71.2475;0.96303;0.97625;0.99971;6.1762;0.10687;0.32547;-10;11.983;630.15;0.019228;2151.37;;;1500
3000;0;0.936123348;1700000;70.7347;0.98298;1.011;0.99984;6.5597;0.12025;0.3278294;-10;12.959;644.73;0.02037;2484.68;;;1700
3000;0;1.046255507;1900000;70.5888;1.0024;1.0477;0.99995;6.9333;0.13412;0.3285072;-10;13.931;658.92;0.021495;2836.53;;;1900
3000;0.2;0.05417908;100020;221.2403;0.69765;0.39701;0.99701;2.1181;0.022129;0.1048133;-10;3.4154;459.89;0.011609;92.87;;;100.02
3000;0.2;0.162515573;300020;117.6861;0.78553;0.61311;0.99811;3.2047;0.035308;0.1970406;-10;5.3912;518.01;0.012242;303.64;;;300.02
3000;0.2;0.27084665;500010;94.1938;0.83065;0.73175;0.99862;3.8813;0.047097;0.2461833;-10;6.7563;548.25;0.013483;510.85;;;500.01
3000;0.2;0.379177726;700000;83.5861;0.86307;0.80644;0.99895;4.4263;0.05851;0.2774258;-10;7.9169;569.6;0.014688;725.33;;;700
3000;0.2;0.487514219;900000;77.6491;0.89125;0.86043;0.9992;4.912;0.069884;0.2986374;-10;8.9855;586.55;0.015808;953.37;;;900
3000;0.2;0.595850712;1100000;73.9389;0.91772;0.89863;0.9994;5.3794;0.081333;0.3136229;-10;10.025;600.76;0.0168;1201.72;;;1100
3000;0.2;0.704187205;1300000;71.7924;0.94005;0.93808;0.99957;5.8114;0.09333;0.323;-10;11.032;614.98;0.017845;1469.36;;;1300
3000;0.2;0.812523699;1500000;70.7885;0.96078;0.96968;0.99971;6.2051;0.10618;0.3275804;-10;12.011;630.19;0.019014;1757.03;;;1500
3000;0.2;0.920860192;1700000;70.3082;0.98058;1.0032;0.99984;6.5905;0.11952;0.3298182;-10;12.989;644.74;0.020152;2066.62;;;1700
3000;0.2;1.029196685;1900000;70.176;0.99978;1.0387;0.99995;6.9669;0.13333;0.3304395;-10;13.965;658.76;0.021266;2395.4;;;1900
3000;0.4;0.154849032;300020;114.909;0.78023;0.58452;0.99811;3.2339;0.034474;0.2018026;-10;5.4138;520.74;0.011845;95.89;;;300.02
3000;0.4;0.258069677;500010;91.9921;0.82352;0.69971;0.99862;3.9236;0.045997;0.2520752;-10;6.79;549.99;0.013026;259.89;;;500.01
3000;0.4;0.361290323;700000;81.8669;0.85843;0.78287;0.99895;4.4686;0.057307;0.2832517;-10;7.9528;571.86;0.014249;439.75;;;700
3000;0.4;0.464516129;900000;76.2235;0.88472;0.83807;0.9992;4.9553;0.068601;0.3042231;-10;9.0241;588.91;0.015382;637.37;;;900
3000;0.4;0.567741935;1100000;72.784;0.91088;0.88246;0.9994;5.4167;0.080062;0.3185992;-10;10.061;603.82;0.016423;856.18;;;1100
3000;0.4;0.670967742;1300000;70.5322;0.93497;0.91775;0.99957;5.8727;0.091692;0.3287707;-10;11.091;616.75;0.017348;1098.22;;;1300
3000;0.4;0.774193548;1500000;69.4257;0.95452;0.95308;0.99971;6.2903;0.10414;0.3340109;-10;12.093;630.59;0.018395;1363.06;;;1500
3000;0.4;0.877419355;1700000;69.0224;0.97383;0.98282;0.99984;6.6814;0.11734;0.3359624;-10;13.079;644.91;0.019513;1649.9;;;1700
3000;0.4;0.980645161;1900000;68.9488;0.99237;1.0144;0.99995;7.065;0.131;0.3363211;-10;14.064;658.65;0.020603;1957.04;;;1900
3000;0.4;1.083870968;2100000;69.1831;1.0107;1.048;1;7.4438;0.14528;0.3351821;-10;15.056;672.14;0.021687;2290.64;;;2100
3000;0.6;0.239739164;500000;88.2173;0.81324;0.65714;0.99862;3.9967;0.044109;0.2628616;-10;6.8484;553.09;0.012262;0.9;;;500
3000;0.6;0.335634829;700000;78.8883;0.84816;0.73697;0.99895;4.5446;0.055222;0.2939464;-10;8.0155;575.01;0.013501;146.5;;;700
3000;0.6;0.431530495;900000;73.7792;0.87679;0.7999;0.9992;5.0307;0.066401;0.3143018;-10;9.0905;592.8;0.014666;314.08;;;900
3000;0.6;0.52742616;1100000;70.6686;0.89989;0.84768;0.9994;5.4941;0.077735;0.3281364;-10;10.132;607.88;0.015721;504.72;;;1100
3000;0.6;0.623321826;1300000;68.7323;0.9234;0.8897;0.99957;5.9427;0.089352;0.3373805;-10;11.159;621.69;0.016706;718.77;;;1300
3000;0.6;0.719217491;1500000;67.4757;0.94523;0.92035;0.99971;6.3949;0.10121;0.3436634;-10;12.195;633.72;0.017586;957.94;;;1500
3000;0.6;0.815113157;1700000;66.9075;0.96403;0.95479;0.99984;6.8279;0.11374;0.3465818;-10;13.222;645.93;0.01851;1222.48;;;1700
3000;0.6;0.911008822;1900000;66.913;0.98162;0.98314;0.99995;7.2249;0.12713;0.3465537;-10;14.224;659.16;0.019552;1508.23;;;1900
3000;0.6;1.006904488;2100000;67.2366;0.999;1.0109;1;7.6155;0.1412;0.3448853;-10;15.234;672.24;0.020601;1822.67;;;2100
4000;0;0.059221979;100020;210.5981;0.70013;0.41605;0.99701;1.9462;0.021064;0.1101099;-10;3.155;456.42;0.012026;220.72;;;100.02
