Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;Power (kW)
0;0;0.060263824;100050;250.3392;0.73089;0.40914;0.9973;2.3035;0.025046;0.0926301;-10;4.8114;490.32;0.012081;251.21;;;100.05
0;0;0.180785448;300140;131.6904;0.81786;0.62754;0.99839;3.4391;0.039526;0.1760867;-10;7.4977;552.01;0.01277;548.2;;;300.14
0;0;0.301270931;500170;104.2447;0.86092;0.7486;0.9989;4.1477;0.05214;0.2224471;-10;9.3398;583.61;0.013968;809.95;;;500.17
0;0;0.421654018;700030;91.7599;0.89057;0.82498;0.99924;4.7062;0.064235;0.252713;-10;10.876;605.58;0.015166;1064.6;;;700.03
0;0;0.542103361;900000;84.6196;0.91795;0.87794;0.99949;5.1954;0.076158;0.2740374;-10;12.269;623;0.016287;1323.75;;;900
0;0;0.662570775;1100000;80.0526;0.94375;0.91649;0.99969;5.6553;0.088058;0.2896711;-10;13.599;637.41;0.017301;1595.7;;;1100
0;0;0.783038188;1300000;77.2479;0.96526;0.95425;0.99986;6.0924;0.10042;0.3001885;-10;14.903;651.23;0.018315;1886.68;;;1300
0;0;0.903505602;1500000;75.6968;0.98482;0.98596;1;6.4869;0.11355;0.3063395;-10;16.158;666.01;0.019449;2190.58;;;1500
0;0;1.023973015;1700000;74.8374;1.004;1.0167;1.0001;6.8691;0.12722;0.3098574;-10;17.407;680.45;0.020579;2514.55;;;1700
0;0.2;0.059173172;100050;246.7408;0.72689;0.40406;0.9973;2.3203;0.024686;0.0939809;-10;4.8263;490.64;0.011821;97.06;;;100.05
0;0.2;0.177436716;300010;130.6804;0.81607;0.61727;0.99839;3.4492;0.039205;0.1774477;-10;7.5074;553.01;0.01263;318.41;;;300.01
