Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
0;0;0.036425529;100050;267.9707;0.61039;0.30686;0.99679;1.9459;0.02681;0.0865353;-10;3.5146;445.33;0.015308;172.58;;;;100.05
0;0;0.109272946;300140;138.3262;0.76527;0.48407;0.99788;2.9858;0.041517;0.1676394;-10;5.5835;511.6;0.01545;388.07;;;;300.14
0;0;0.182120363;500230;107.4183;0.80369;0.59828;0.99839;3.6551;0.053734;0.2158751;-10;7.0126;540.97;0.016334;580.27;;;;500.23
0;0;0.254909528;700160;93.1928;0.83141;0.68102;0.99873;4.1825;0.06525;0.2488275;-10;8.2017;561.47;0.017334;766.48;;;;700.16
0;0;0.327767867;900280;85.2204;0.85758;0.74596;0.99898;4.6144;0.076722;0.2721055;-10;9.2418;578.74;0.018474;949.79;;;;900.28
0;0;0.400516984;1100100;80.0025;0.87799;0.79711;0.99918;5.0064;0.08801;0.2898526;-10;10.209;592.94;0.019533;1136.9;;;;1100.1
0;0;0.473295227;1300000;76.3044;0.89555;0.83591;0.99935;5.3705;0.099198;0.3039005;-10;11.125;605.06;0.020523;1328.79;;;;1300
0;0;0.546109877;1500000;73.6106;0.91307;0.86896;0.99949;5.7135;0.11042;0.3150217;-10;12.005;615.85;0.021473;1526.86;;;;1500
0;0;0.618924528;1700000;71.563;0.93043;0.89804;0.99961;6.044;0.12166;0.3240354;-10;12.864;625.73;0.022365;1732.43;;;;1700
0;0;0.691739178;1900000;69.9365;0.94628;0.91973;0.99973;6.3735;0.13288;0.3315711;-10;13.718;634.41;0.023165;1948.42;;;;1900
0;0;0.764553828;2100000;68.7929;0.96046;0.94423;0.99983;6.6888;0.14447;0.337083;-10;14.558;643.22;0.023998;2174.08;;;;2100
0;0;0.837368479;2300000;67.9977;0.97251;0.96741;0.99992;6.9852;0.15639;0.3410255;-10;15.378;652.26;0.024877;2406.38;;;;2300
0;0;0.910183129;2500000;67.4993;0.98511;0.98643;1;7.2605;0.16875;0.3435433;-10;16.175;661.75;0.025824;2644.03;;;;2500
0;0;0.982997779;2700000;67.1606;0.99729;1.0056;1.0001;7.5335;0.18133;0.3452756;-10;16.973;670.9;0.026745;2892.37;;;;2700
0;0;1.055812429;2900000;66.9574;1.0092;1.0258;1.0001;7.8023;0.19418;0.3463239;-10;17.768;679.85;0.027652;3150.17;;;;2900
0;0.2;0.035810158;100050;264.725;0.60555;0.30348;0.99679;1.9602;0.026485;0.0875963;-10;3.5258;446.08;0.015013;42.24;;;;100.05
0;0.2;0.10739826;300060;136.9603;0.7627;0.47747;0.99788;3.0036;0.041096;0.1693113;-10;5.5985;512.1;0.015203;188.56;;;;300.06
0;0.2;0.178968467;500020;106.7137;0.80183;0.58877;0.99839;3.6677;0.053359;0.2173004;-10;7.0238;541.91;0.016165;336.17;;;;500.02
0;0.2;0.250549411;700010;92.5217;0.82903;0.67361;0.99873;4.2004;0.064766;0.2506324;-10;8.2183;562.11;0.017132;487.52;;;;700.01
0;0.2;0.322130355;900000;84.6712;0.85501;0.73525;0.99898;4.6323;0.076204;0.2738703;-10;9.2585;579.35;0.018279;642.11;;;;900
0;0.2;0.393714879;1100000;79.5236;0.87644;0.78855;0.99918;5.0238;0.087476;0.291598;-10;10.226;593.73;0.019347;803.16;;;;1100
0;0.2;0.465299402;1300000;75.8803;0.89381;0.82823;0.99935;5.388;0.098644;0.305599;-10;11.143;605.89;0.020342;970.97;;;;1300
0;0.2;0.536883926;1500000;73.2164;0.91055;0.86144;0.99949;5.7321;0.10982;0.3167175;-10;12.025;616.63;0.021288;1146.4;;;;1500
0;0.2;0.608468449;1700000;71.2206;0.92795;0.89137;0.99961;6.0608;0.12107;0.3255932;-10;12.882;626.67;0.022196;1329.91;;;;1700
0;0.2;0.680052973;1900000;69.6381;0.94386;0.91435;0.99973;6.3885;0.13231;0.3329921;-10;13.734;635.54;0.023012;1523.88;;;;1900
0;0.2;0.751637496;2100000;68.4428;0.95901;0.93696;0.99983;6.7123;0.14373;0.3388073;-10;14.584;643.88;0.023792;1729.55;;;;2100
0;0.2;0.823222019;2300000;67.6376;0.97073;0.96083;0.99992;7.0134;0.15557;0.342841;-10;15.409;652.7;0.024646;1942.93;;;;2300
0;0.2;0.894806543;2500000;67.1205;0.98291;0.98073;1;7.2947;0.1678;0.3454821;-10;16.213;661.89;0.025559;2163.36;;;;2500
0;0.2;0.966391066;2700000;66.7986;0.99502;0.99932;1.0001;7.5688;0.18036;0.3471472;-10;17.012;671.02;0.026477;2394.1;;;;2700
0;0.2;1.03797559;2900000;66.6052;1.0068;1.0186;1.0001;7.839;0.19316;0.3481547;-10;17.81;679.91;0.027378;2634.61;;;;2900
0;0.4;0.170451679;500020;104.494;0.79691;0.56114;0.99839;3.704;0.052249;0.2219165;-10;7.0563;544.83;0.015674;89.39;;;;500.02
0;0.4;0.238626214;700010;90.5777;0.82328;0.64431;0.99873;4.2477;0.063405;0.2560116;-10;8.2615;564.37;0.016586;205.34;;;;700.01
0;0.4;0.30680075;900000;82.9415;0.84778;0.70283;0.99898;4.6873;0.074647;0.2795817;-10;9.3098;581.19;0.017696;331.49;;;;900
0;0.4;0.374978694;1100000;78.0432;0.8706;0.75869;0.99918;5.0772;0.085848;0.2971294;-10;10.277;595.8;0.018788;466.75;;;;1100
0;0.4;0.443156639;1300000;74.578;0.88906;0.80322;0.99935;5.4421;0.096951;0.3109351;-10;11.197;608.32;0.019795;610.95;;;;1300
0;0.4;0.511334583;1500000;72.0495;0.905;0.83809;0.99949;5.7859;0.10807;0.321847;-10;12.08;619.18;0.020755;763.97;;;;1500
0;0.4;0.579512528;1700000;70.126;0.92038;0.86849;0.99961;6.1182;0.11921;0.3306752;-10;12.942;629.09;0.021651;926.31;;;;1700
0;0.4;0.647690472;1900000;68.6837;0.93656;0.8961;0.99973;6.4397;0.1305;0.3376193;-10;13.79;638.53;0.022517;1098.81;;;;1900
0;0.4;0.715868417;2100000;67.5555;0.95159;0.91923;0.99983;6.7614;0.14187;0.3432574;-10;14.638;647.09;0.023314;1282.83;;;;2100
0;0.4;0.784046361;2300000;66.6578;0.96576;0.93892;0.99992;7.0833;0.15331;0.3478803;-10;15.486;654.87;0.02405;1478.04;;;;2300
0;0.4;0.852224305;2500000;66.0672;0.97754;0.96131;1;7.3836;0.16517;0.35099;-10;16.311;663.15;0.024856;1681.99;;;;2500
0;0.4;0.92040225;2700000;65.7059;0.98846;0.9824;1.0001;7.6755;0.17741;0.3529199;-10;17.131;671.47;0.025682;1897.28;;;;2700
0;0.4;0.988580194;2900000;65.5515;1;0.99988;1.0001;7.9488;0.1901;0.3537515;-10;17.934;680.28;0.026574;2121.3;;;;2900
0;0.4;1.056758139;3100000;65.479;1.0112;1.0172;1.0002;8.22;0.20298;0.3541429;-10;18.737;688.77;0.027439;2354.68;;;;3100
0;0.6;0.283875852;900000;80.0857;0.83795;0.65958;0.99898;4.7779;0.072077;0.2895514;-10;9.3952;584.7;0.016763;10.77;;;;900
0;0.6;0.346959374;1100000;75.4454;0.85892;0.70808;0.99918;5.1745;0.08299;0.3073604;-10;10.368;598.85;0.017825;119.7;;;;1100
0;0.6;0.410042897;1300000;72.3089;0.87908;0.75383;0.99935;5.5392;0.094002;0.3206928;-10;11.293;611.72;0.018856;241.15;;;;1300
0;0.6;0.473126419;1500000;70.0272;0.89746;0.79578;0.99949;5.8824;0.10504;0.3311416;-10;12.179;623.14;0.019841;372.49;;;;1500
0;0.6;0.536209942;1700000;68.2805;0.91175;0.82914;0.99961;6.2152;0.11608;0.3396129;-10;13.043;633.25;0.020755;513.32;;;;1700
0;0.6;0.599293465;1900000;66.9545;0.92548;0.85828;0.99973;6.5409;0.12721;0.3463385;-10;13.898;642.64;0.021615;665.34;;;;1900
0;0.6;0.662376987;2100000;65.9606;0.93929;0.88487;0.99983;6.8603;0.13852;0.3515574;-10;14.745;651.48;0.022438;829.14;;;;2100
0;0.6;0.72546051;2300000;65.2075;0.95365;0.90927;0.99992;7.173;0.14998;0.3556175;-10;15.585;659.98;0.023235;1003.24;;;;2300
0;0.6;0.788544032;2500000;64.6191;0.96718;0.93138;1;7.4855;0.16155;0.3588556;-10;16.425;667.86;0.023982;1188.28;;;;2500
0;0.6;0.851627555;2700000;64.1774;0.97999;0.94889;1.0001;7.8023;0.17328;0.3613257;-10;17.274;675.07;0.024679;1385.82;;;;2700
0;0.6;0.914711077;2900000;63.9279;0.99129;0.96791;1.0001;8.1074;0.18539;0.3627357;-10;18.114;682.46;0.025411;1594.22;;;;2900
0;0.6;0.9777946;3100000;63.8126;1.0011;0.9879;1.0002;8.4013;0.19782;0.3633912;-10;18.944;690.01;0.026166;1812.4;;;;3100
