Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
0;0;0.045465703;100020;248.8535;0.6516;0.33881;0.99701;1.7724;0.024891;0.0931831;-10;3.9002;461.56;0.015604;172.46;;;;100.02
0;0;0.136410746;300090;131.2957;0.78164;0.5308;0.9981;2.7031;0.0394;0.176616;-10;6.1941;529.11;0.016195;388.9;;;;300.09
0;0;0.227360335;500170;102.5977;0.81987;0.65576;0.99862;3.3254;0.051316;0.2260181;-10;7.8153;558.18;0.017146;586.62;;;;500.17
0;0;0.318350834;700340;90.0846;0.85362;0.73964;0.99895;3.7957;0.06309;0.2574129;-10;9.1535;580.96;0.018468;778.54;;;;700.34
0;0;0.409132233;900050;82.9323;0.87977;0.80338;0.9992;4.2031;0.074643;0.2796129;-10;10.359;598.84;0.019732;973.4;;;;900.05
0;0;0.500022728;1100000;78.2443;0.90149;0.84965;0.9994;4.5756;0.08607;0.2963658;-10;11.487;613.53;0.020901;1174.44;;;;1100
0;0;0.590935952;1300000;75.0543;0.9237;0.88864;0.99957;4.9221;0.097571;0.3089621;-10;12.563;626.5;0.022026;1383.42;;;;1300
0;0;0.681849175;1500000;72.6834;0.94399;0.91723;0.99971;5.2632;0.10903;0.3190402;-10;13.624;637.68;0.023016;1604.24;;;;1500
0;0;0.772762398;1700000;71.0993;0.96181;0.94743;0.99984;5.5902;0.12087;0.3261486;-10;14.669;648.69;0.024024;1838.23;;;;1700
0;0;0.863675622;1900000;70.1083;0.97724;0.97458;0.99995;5.8901;0.13321;0.3307587;-10;15.679;660.29;0.025128;2080.01;;;;1900
0;0;0.954588845;2100000;69.5081;0.99276;0.99819;1;6.174;0.14597;0.3336148;-10;16.67;671.97;0.026269;2331.49;;;;2100
0;0;1.045502068;2300000;69.161;1.0078;1.0231;1.0001;6.4536;0.15907;0.3352891;-10;17.66;683.32;0.027387;2596.34;;;;2300
0;0.2;0.044683703;100020;245.9338;0.64468;0.3349;0.99701;1.7853;0.024599;0.0942893;-10;3.9125;462.11;0.015309;53.81;;;;100.02
0;0.2;0.134033238;300020;130.2372;0.77945;0.52288;0.9981;2.7155;0.039073;0.1780515;-10;6.2072;529.83;0.015987;208.36;;;;300.02
0;0.2;0.223378306;500010;101.9169;0.81788;0.64563;0.99861;3.3375;0.050959;0.2275278;-10;7.8284;558.94;0.016965;364.66;;;;500.01
0;0.2;0.312723374;700000;89.5216;0.85111;0.72804;0.99895;3.81;0.062665;0.2590316;-10;9.1693;581.55;0.018275;525.4;;;;700
0;0.2;0.402072909;900000;82.4416;0.87822;0.79468;0.9992;4.2174;0.074197;0.281277;-10;10.375;599.61;0.019548;693.25;;;;900
0;0.2;0.491422445;1100000;77.8251;0.89969;0.84163;0.9994;4.5896;0.085608;0.2979621;-10;11.504;614.38;0.020725;869.55;;;;1100
0;0.2;0.58077198;1300000;74.6727;0.92114;0.88067;0.99957;4.937;0.097075;0.3105409;-10;12.582;627.31;0.021847;1055.66;;;;1300
0;0.2;0.670121515;1500000;72.3669;0.94157;0.91191;0.99971;5.2758;0.10855;0.3204357;-10;13.641;638.79;0.022861;1253.67;;;;1500
0;0.2;0.759471051;1700000;70.7381;0.96036;0.9401;0.99984;5.6098;0.12025;0.327814;-10;14.695;649.33;0.023819;1466.73;;;;1700
0;0.2;0.848820586;1900000;69.7;0.97504;0.9691;0.99995;5.9183;0.13243;0.3326965;-10;15.716;660.39;0.024863;1689.92;;;;1900
0;0.2;0.938170122;2100000;69.1265;0.99052;0.99227;1;6.2027;0.14517;0.3354565;-10;16.708;672.09;0.026004;1922.99;;;;2100
0;0.2;1.027519657;2300000;68.7936;1.0054;1.016;1.0001;6.4841;0.15823;0.3370796;-10;17.702;683.35;0.027114;2169.92;;;;2300
0;0.4;0.127559524;300020;126.7509;0.77292;0.50094;0.9981;2.757;0.038027;0.1829488;-10;6.2506;531.7;0.015326;24.71;;;;300.02
0;0.4;0.212589286;500010;99.8718;0.81256;0.61593;0.99861;3.3706;0.049936;0.2321869;-10;7.8644;561.61;0.016462;140.4;;;;500.01
0;0.4;0.297619048;700000;87.6734;0.84393;0.69763;0.99895;3.8552;0.061371;0.2644923;-10;9.2194;583.34;0.017688;269.82;;;;700
