Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
0;0;0.060300145;100050;223.5876;0.70564;0.37962;0.9973;1.5794;0.02237;0.103713;-10;5.4792;524.22;0.015737;169.79;;;;100.05
0;0;0.180894407;300140;120.5005;0.80191;0.59098;0.99839;2.4264;0.036167;0.1924385;-10;8.7764;593.97;0.016562;390.08;;;;300.14
0;0;0.301452507;500170;96.0011;0.84715;0.71797;0.9989;2.9937;0.048017;0.2415487;-10;11.148;627.76;0.017822;597.01;;;;500.17
0;0;0.421908149;700030;85.1248;0.88284;0.80804;0.99924;3.4471;0.05959;0.272411;-10;13.167;652.92;0.019208;805.46;;;;700.03
0;0;0.542430087;900000;78.9749;0.91225;0.86691;0.99949;3.8492;0.071078;0.2936239;-10;15.019;672.66;0.020517;1022.84;;;;900
0;0;0.662970106;1100000;75.0795;0.94053;0.91146;0.99969;4.2279;0.082587;0.3088584;-10;16.796;689.31;0.021704;1254.02;;;;1100
0;0;0.783510125;1300000;72.6768;0.96413;0.9518;0.99986;4.5919;0.09448;0.3190691;-10;18.547;704.8;0.022862;1504.27;;;;1300
0;0;0.904050145;1500000;71.3833;0.98507;0.98641;1;4.917;0.10707;0.324851;-10;20.22;721.62;0.024196;1765.5;;;;1500
0;0;1.024590164;1700000;70.6973;1.0056;1.0196;1.0001;5.2294;0.12019;0.3280031;-10;21.878;738.14;0.025536;2044.07;;;;1700
0;0.2;0.059309977;100050;221.232;0.70167;0.37489;0.9973;1.5892;0.022134;0.1048173;-10;5.4941;524.51;0.015475;64.13;;;;100.05
0;0.2;0.177846938;300010;119.9554;0.80045;0.58061;0.99839;2.4298;0.035988;0.1933129;-10;8.7819;595.23;0.016457;227.89;;;;300.01
0;0.2;0.296401684;500000;95.4511;0.84461;0.7058;0.9989;3.0023;0.047726;0.2429405;-10;11.163;628.38;0.017663;397.19;;;;500
0;0.2;0.414962357;700000;84.6771;0.88117;0.79883;0.99924;3.4557;0.059274;0.2738512;-10;13.183;653.79;0.019058;575.5;;;;700
0;0.2;0.53352303;900000;78.5802;0.90968;0.85911;0.99949;3.8591;0.070722;0.2950991;-10;15.038;673.46;0.020362;766.27;;;;900
0;0.2;0.652083704;1100000;74.7747;0.93816;0.906;0.99969;4.2353;0.082252;0.3101172;-10;16.811;690.49;0.021579;972.05;;;;1100
0;0.2;0.770644377;1300000;72.331;0.96269;0.94409;0.99986;4.605;0.09403;0.3205946;-10;18.573;705.48;0.022688;1198.75;;;;1300
0;0.2;0.889205051;1500000;70.9894;0.98278;0.98049;1;4.9377;0.10648;0.3266533;-10;20.262;721.65;0.023962;1439.6;;;;1500
0;0.2;1.007765724;1700000;70.3246;1.0032;1.0123;1.0001;5.2519;0.11955;0.3297416;-10;21.924;738.07;0.025293;1698.02;;;;1700
0;0.4;0.169669721;300010;118.0092;0.79572;0.55171;0.99839;2.4431;0.035404;0.1965011;-10;8.8035;598.67;0.016102;64.81;;;;300.01
0;0.4;0.282773442;500000;93.6995;0.83763;0.68016;0.9989;3.0281;0.04685;0.2474819;-10;11.206;630.53;0.017192;195.74;;;;500
0;0.4;0.395882819;700000;83.311;0.87611;0.769;0.99924;3.4821;0.058318;0.2783418;-10;13.23;656.15;0.018609;344.26;;;;700
0;0.4;0.508992195;900000;77.4281;0.90398;0.8347;0.99949;3.8866;0.069685;0.29949;-10;15.09;676.16;0.019922;508.61;;;;900
0;0.4;0.622101572;1100000;73.774;0.93062;0.88424;0.99969;4.2631;0.081151;0.3143241;-10;16.866;693.35;0.021151;689.76;;;;1100
0;0.4;0.735210949;1300000;71.4187;0.95612;0.92439;0.99986;4.6339;0.092844;0.3246901;-10;18.632;708.55;0.022263;892.18;;;;1300
0;0.4;0.848320326;1500000;69.9103;0.97732;0.96022;1;4.9895;0.10487;0.3316954;-10;20.367;722.8;0.023353;1113.06;;;;1500
0;0.4;0.961429703;1700000;69.2135;0.99621;0.99367;1.0001;5.318;0.11766;0.3350349;-10;22.061;738.15;0.024585;1352.92;;;;1700
0;0.4;1.074539079;1900000;68.952;1.0153;1.0235;1.0002;5.6296;0.13101;0.3363055;-10;23.73;753.62;0.025858;1609.6;;;;1900
0;0.6;0.367511944;700000;80.9334;0.86394;0.71394;0.99924;3.5302;0.056653;0.2865188;-10;13.312;659.43;0.017835;107.85;;;;700
0;0.6;0.472515357;900000;75.45;0.89604;0.78873;0.99949;3.9356;0.067905;0.3073416;-10;15.181;680.33;0.019175;246.08;;;;900
0;0.6;0.577518769;1100000;72.0126;0.91991;0.84507;0.99969;4.3158;0.079214;0.3220123;-10;16.969;697.62;0.020396;402.96;;;;1100
0;0.6;0.682522182;1300000;69.8684;0.94364;0.88966;0.99986;4.6831;0.090829;0.3318944;-10;18.73;713.35;0.021553;581.04;;;;1300
0;0.6;0.787525595;1500000;68.4627;0.96707;0.9294;1;5.0427;0.10269;0.3387092;-10;20.477;727.76;0.022631;779.09;;;;1500
0;0.6;0.892529007;1700000;67.5704;0.98782;0.95947;1.0001;5.4054;0.11487;0.3431817;-10;22.244;740.52;0.023615;999.27;;;;1700
0;0.6;0.99753242;1900000;67.2091;1.0042;0.99339;1.0002;5.7439;0.1277;0.3450268;-10;23.975;754.05;0.024702;1238.37;;;;1900
0;0.6;1.102535832;2100000;67.2447;1.0217;1.0208;1.0003;6.0591;0.14121;0.3448442;-10;25.664;768.47;0.025899;1493.24;;;;2100
1000;0;0.064159292;100050;211.6288;0.70499;0.39064;0.9973;1.4651;0.021173;0.1095736;-10;5.0996;521.88;0.016057;164.39;;;;100.05
1000;0;0.192388098;300010;114.3089;0.79775;0.61354;0.99839;2.2829;0.034294;0.202862;-10;8.2538;589.16;0.016691;383.86;;;;300.01
1000;0;0.320636142;500000;91.9582;0.84751;0.74417;0.9989;2.8207;0.045979;0.2521681;-10;10.523;623.78;0.018112;591.69;;;;500
1000;0;0.448890599;700000;82.0091;0.88421;0.82714;0.99924;3.2608;0.057406;0.2827605;-10;12.485;648.86;0.019561;805.14;;;;700
1000;0;0.577145056;900000;76.5097;0.91688;0.88635;0.99949;3.6558;0.068859;0.3030847;-10;14.306;668.97;0.020929;1031.37;;;;900
1000;0;0.705399513;1100000;73.1021;0.94642;0.93021;0.99969;4.0386;0.080412;0.3172131;-10;16.091;685.79;0.022123;1277.88;;;;1100
1000;0;0.833653969;1300000;71.3904;0.96983;0.97111;0.99986;4.3774;0.092807;0.3248188;-10;17.794;704.37;0.023557;1539.11;;;;1300
1000;0;0.961908426;1500000;70.5442;0.99305;1.0083;1;4.6971;0.10582;0.3287148;-10;19.469;722.83;0.025031;1818.75;;;;1500
1000;0;1.090162883;1700000;70.1781;1.0154;1.0476;1.0001;5.0077;0.1193;0.3304299;-10;21.135;740.56;0.026471;2117.15;;;;1700
1000;0.2;0.063138963;100050;209.6167;0.70118;0.38558;0.9973;1.4735;0.020972;0.1106254;-10;5.1125;522.23;0.015815;67.56;;;;100.05
1000;0.2;0.189328537;300010;113.7366;0.79616;0.60306;0.99839;2.2866;0.034122;0.2038827;-10;8.2601;590.31;0.01658;233.1;;;;300.01
1000;0.2;0.315537044;500000;91.4352;0.84497;0.73343;0.9989;2.8285;0.045718;0.2536106;-10;10.536;624.44;0.017959;405.68;;;;500
1000;0.2;0.441751862;700000;81.5954;0.8824;0.8192;0.99924;3.2688;0.057117;0.2841941;-10;12.5;649.72;0.019415;590.22;;;;700
1000;0.2;0.567966679;900000;76.1693;0.91442;0.87904;0.99949;3.6637;0.068552;0.3044393;-10;14.322;669.91;0.02079;790.51;;;;900
1000;0.2;0.694181497;1100000;72.7961;0.94394;0.92251;0.99969;4.0472;0.080076;0.3185465;-10;16.109;686.76;0.021984;1011.98;;;;1100
1000;0.2;0.820396315;1300000;70.9955;0.96759;0.96536;0.99986;4.3959;0.092294;0.3266255;-10;17.831;704.4;0.023328;1252.34;;;;1300
1000;0.2;0.946611132;1500000;70.1768;0.99064;1.0011;1;4.717;0.10527;0.3304359;-10;19.51;722.78;0.024796;1511.56;;;;1500
1000;0.2;1.07282595;1700000;69.8245;1.0128;1.0389;1.0001;5.0297;0.1187;0.3321031;-10;21.182;740.36;0.026223;1790.24;;;;1700
1000;0.4;0.180794263;300010;112.0027;0.79176;0.57297;0.99839;2.2979;0.033602;0.207039;-10;8.2779;593.69;0.016248;81.53;;;;300.01
1000;0.4;0.301313728;500000;89.8627;0.83795;0.69804;0.9989;2.8516;0.044931;0.2580484;-10;10.575;626.42;0.017507;218.37;;;;500
1000;0.4;0.421839219;700000;80.3531;0.87743;0.79331;0.99924;3.2931;0.056247;0.2885879;-10;12.544;652.25;0.018978;374.35;;;;700
1000;0.4;0.54236471;900000;75.0961;0.9072;0.85539;0.99949;3.6903;0.067586;0.3087903;-10;14.373;672.43;0.020349;549.19;;;;900
1000;0.4;0.662890201;1100000;71.9437;0.9368;0.90498;0.99969;4.0683;0.079138;0.3223203;-10;16.152;690.21;0.021614;745.55;;;;1100
1000;0.4;0.783415692;1300000;69.9526;0.96256;0.94467;0.99986;4.4396;0.090938;0.3314947;-10;17.92;705.76;0.022759;964.83;;;;1300
1000;0.4;0.903941184;1500000;69.0784;0.98381;0.98263;1;4.7763;0.10362;0.33569;-10;19.632;722.85;0.024105;1205.37;;;;1500
1000;0.4;1.024466675;1700000;68.7741;1.0052;1.0164;1.0001;5.0943;0.11692;0.3371756;-10;21.318;740.07;0.0255;1465.32;;;;1700
1000;0.6;0.280080663;500000;87.3143;0.82813;0.6526;0.9989;2.8877;0.043657;0.2655801;-10;10.635;630.36;0.0168;26.9;;;;500
