Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);Nominal Power (W);;;Power (kW)
1000;0.4;0.270513977;300000;106.2083;0.82175;0.68348;0.9988;1.9443;0.031863;0.2183345;-10;8.1765;582.53;0.018209;146.57;1000300;;;300
1000;0.4;0.450856628;500000;87.9983;0.88282;0.81654;0.99931;2.4023;0.043999;0.2635157;-10;10.504;619.48;0.020351;316.12;1000300;;;500
1000;0.4;0.631199279;700000;80.3633;0.92726;0.89717;0.99964;2.7955;0.056254;0.2885513;-10;12.607;646.25;0.022355;514.52;1000300;;;700
1000;0.4;0.81154193;900000;76.5919;0.96666;0.95512;0.99989;3.1726;0.068933;0.3027594;-10;14.67;668.65;0.024142;747.31;1000300;;;900
1000;0.4;0.991884581;1100000;75.3927;0.99932;1.0059;1.0001;3.5056;0.082932;0.3075753;-10;16.662;693.14;0.026286;1013.36;1000300;;;1100
1000;0.4;1.172227232;1300000;75.23;1.0309;1.0579;1.0003;3.8232;0.097799;0.3082404;-10;18.642;716.76;0.028423;1309.99;1000300;;;1300
1000;0.6;0.24939729;300000;102.7587;0.812;0.6379;0.9988;1.9779;0.030828;0.225664;-10;8.24;585.77;0.017318;15.26;1000300;;;300
1000;0.6;0.41566215;500000;85.4517;0.87256;0.77118;0.99931;2.4428;0.042726;0.2713689;-10;10.586;622.46;0.019435;155.16;1000300;;;500
1000;0.6;0.58192701;700000;78.3724;0.9164;0.8591;0.99964;2.8376;0.054861;0.2958814;-10;12.698;649.91;0.021483;328.78;1000300;;;700
1000;0.6;0.74819187;900000;74.9062;0.95588;0.92423;0.99989;3.2155;0.067416;0.3095729;-10;14.769;672.9;0.023297;537.99;1000300;;;900
1000;0.6;0.91445673;1100000;73.4172;0.98905;0.97702;1.0001;3.5833;0.080759;0.3158517;-10;16.845;693.7;0.025044;785.22;1000300;;;1100
1000;0.6;1.080721589;1300000;73.3395;1.0186;1.0227;1.0003;3.9131;0.095341;0.3161861;-10;18.862;716.27;0.027072;1064.96;1000300;;;1300
2000;0;0.103759492;100020;188.5445;0.72264;0.47532;0.9977;1.1186;0.018858;0.1229892;-10;4.5955;511.61;0.018731;161.64;1000300;;;100.02
2000;0;0.311216233;300000;104.3381;0.82884;0.74619;0.9988;1.7934;0.031302;0.222248;-10;7.629;576.44;0.019393;394.58;1000300;;;300
2000;0;0.518693722;500000;86.8738;0.89096;0.86471;0.99931;2.2367;0.043437;0.2669266;-10;9.8843;612.73;0.021578;629.49;1000300;;;500
