Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);Nominal Power (W);;;Power (kW)
0;0;0.09;100050;234.77;0.77;0.48;0.9977;2;0.02;0.1;-10;5.8;524.73;0.01;261.94;1000600;;;100.05
0;0;0.27;300080;125.53;0.85;0.73;0.9988;3;0.04;0.18;-10;9.08;586.81;0.01;578.15;1000600;;;300.08
0;0;0.45;500010;101.25;0.9;0.84;0.99931;3.62;0.05;0.23;-10;11.37;620.15;0.02;864.83;1000600;;;500.01
0;0;0.63;700000;90.41;0.94;0.91;0.99964;4.14;0.06;0.26;-10;13.36;643.64;0.02;1157.53;1000600;;;700
0;0;0.81;900000;84.92;0.97;0.96;0.9999;4.62;0.08;0.27;-10;15.26;664.18;0.02;1476.37;1000600;;;900
0;0;0.99;1100000;82.54;1;1.01;1.0001;5.04;0.09;0.28;-10;17.09;686.37;0.02;1820.26;1000600;;;1100
0;0;1.17;1300000;81.48;1.03;1.06;1.0003;5.45;0.11;0.28;-10;18.91;707.44;0.02;2195.63;1000600;;;1300
0;0.2;0.09;100020;232.13;0.77;0.48;0.9977;2.01;0.02;0.1;-10;5.81;525.17;0.01;128.27;1000600;;;100.02
0;0.2;0.27;300000;124.48;0.85;0.72;0.9988;3.01;0.04;0.19;-10;9.1;587.32;0.01;377.87;1000600;;;300
0;0.2;0.44;500000;100.55;0.9;0.84;0.99931;3.64;0.05;0.23;-10;11.39;620.92;0.02;623.1;1000600;;;500
0;0.2;0.62;700000;89.89;0.94;0.9;0.99964;4.15;0.06;0.26;-10;13.37;644.65;0.02;881.41;1000600;;;700
0;0.2;0.8;900000;84.39;0.97;0.96;0.9999;4.63;0.08;0.27;-10;15.28;664.7;0.02;1169.31;1000600;;;900
0;0.2;0.97;1100000;81.98;1;1;1.0001;5.06;0.09;0.28;-10;17.12;686.35;0.02;1486.45;1000600;;;1100
0;0.2;1.15;1300000;80.96;1.02;1.05;1.0003;5.47;0.11;0.29;-10;18.96;707.26;0.02;1835.53;1000600;;;1300
0;0.4;0.25;300000;121.18;0.84;0.69;0.9988;3.05;0.04;0.19;-10;9.14;588.93;0.01;175.28;1000600;;;300
0;0.4;0.42;500000;98.36;0.89;0.81;0.99931;3.67;0.05;0.24;-10;11.44;623.1;0.01;379.61;1000600;;;500
0;0.4;0.59;700000;88.21;0.93;0.88;0.99964;4.19;0.06;0.26;-10;13.42;647.07;0.02;604.35;1000600;;;700
0;0.4;0.75;900000;82.85;0.96;0.94;0.9999;4.68;0.07;0.28;-10;15.35;666.8;0.02;861.06;1000600;;;900
0;0.4;0.92;1100000;80.3;0.99;0.98;1.0001;5.13;0.09;0.29;-10;17.24;686.44;0.02;1152.74;1000600;;;1100
0;0.4;1.09;1300000;79.4;1.02;1.03;1.0003;5.55;0.1;0.29;-10;19.09;706.97;0.02;1476.56;1000600;;;1300
0;0.6;0.38;500000;94.57;0.88;0.76;0.99931;3.73;0.05;0.25;-10;11.52;626.1;0.01;129.29;1000600;;;500
0;0.6;0.54;700000;85.27;0.92;0.85;0.99964;4.25;0.06;0.27;-10;13.52;650.76;0.02;321.08;1000600;;;700
0;0.6;0.69;900000;80.5;0.95;0.9;0.9999;4.74;0.07;0.29;-10;15.44;671.42;0.02;546.35;1000600;;;900
0;0.6;0.84;1100000;77.89;0.98;0.95;1.0001;5.22;0.09;0.3;-10;17.38;689.31;0.02;809.55;1000600;;;1100
0;0.6;1;1300000;76.8;1.01;1;1.0003;5.68;0.1;0.3;-10;19.3;707.16;0.02;1108.39;1000600;;;1300
0;0.6;1.15;1500000;76.92;1.03;1.03;1.0004;6.1;0.12;0.3;-10;21.19;726.45;0.02;1444.93;1000600;;;1500
1000;0;0.1;100020;220.74;0.77;0.5;0.9977;1.86;0.02;0.11;-10;5.39;520.43;0.01;252.52;1000600;;;100.02
1000;0;0.29;300000;119.4;0.85;0.75;0.9988;2.81;0.04;0.19;-10;8.51;582.43;0.01;565.41;1000600;;;300
1000;0;0.48;500000;97.06;0.9;0.86;0.99931;3.41;0.05;0.24;-10;10.71;615.43;0.02;853.86;1000600;;;500
1000;0;0.67;700000;87.35;0.94;0.92;0.99964;3.92;0.06;0.27;-10;12.67;639.17;0.02;1158.41;1000600;;;700
1000;0;0.86;900000;83.21;0.98;0.98;0.9999;4.37;0.07;0.28;-10;14.54;663.35;0.02;1492.63;1000600;;;900
1000;0;1.05;1100000;81.53;1.01;1.03;1.0001;4.8;0.09;0.28;-10;16.39;687.15;0.02;1861.73;1000600;;;1100
1000;0.2;0.09;100020;218.45;0.76;0.49;0.9977;1.87;0.02;0.11;-10;5.4;520.95;0.01;129.83;1000600;;;100.02
1000;0.2;0.28;300000;118.44;0.85;0.74;0.9988;2.82;0.04;0.2;-10;8.52;582.96;0.01;380.23;1000600;;;300
1000;0.2;0.47;500000;96.43;0.9;0.85;0.99931;3.42;0.05;0.24;-10;10.72;616.22;0.02;629.38;1000600;;;500
1000;0.2;0.66;700000;86.86;0.94;0.92;0.99964;3.93;0.06;0.27;-10;12.69;640.06;0.02;900.4;1000600;;;700
1000;0.2;0.85;900000;82.63;0.97;0.97;0.9999;4.39;0.07;0.28;-10;14.58;663.37;0.02;1206.18;1000600;;;900
1000;0.2;1.04;1100000;81.01;1;1.02;1.0001;4.82;0.09;0.29;-10;16.43;687.01;0.02;1548.38;1000600;;;1100
1000;0.4;0.09;100020;211.22;0.76;0.47;0.9977;1.9;0.02;0.11;-10;5.44;522.25;0.01;4.69;1000600;;;100.02
1000;0.4;0.27;300000;115.5;0.84;0.71;0.9988;2.85;0.03;0.2;-10;8.56;584.48;0.01;193.14;1000600;;;300
1000;0.4;0.45;500000;94.48;0.89;0.83;0.99931;3.45;0.05;0.25;-10;10.77;618.5;0.02;403.61;1000600;;;500
1000;0.4;0.62;700000;85.44;0.93;0.9;0.99964;3.96;0.06;0.27;-10;12.73;643.09;0.02;641.47;1000600;;;700
1000;0.4;0.8;900000;80.99;0.97;0.96;0.9999;4.45;0.07;0.29;-10;14.66;664.05;0.02;919.07;1000600;;;900
1000;0.4;0.98;1100000;79.44;1;1;1.0001;4.89;0.09;0.29;-10;16.54;686.9;0.02;1235.76;1000600;;;1100
1000;0.4;1.16;1300000;79.14;1.03;1.05;1.0003;5.31;0.1;0.29;-10;18.42;709.09;0.02;1589.4;1000600;;;1300
1000;0.6;0.25;300000;110.63;0.83;0.66;0.9988;2.9;0.03;0.21;-10;8.63;587.48;0.01;0.14;1000600;;;300
1000;0.6;0.41;500000;91.09;0.88;0.79;0.99931;3.5;0.05;0.25;-10;10.85;621.85;0.01;172.05;1000600;;;500
1000;0.6;0.57;700000;82.8;0.92;0.86;0.99964;4.01;0.06;0.28;-10;12.82;646.83;0.02;377.87;1000600;;;700
1000;0.6;0.74;900000;78.75;0.96;0.92;0.9999;4.51;0.07;0.29;-10;14.76;668.29;0.02;624.38;1000600;;;900
1000;0.6;0.9;1100000;76.92;0.99;0.97;1.0001;4.99;0.08;0.3;-10;16.72;687.74;0.02;915.02;1000600;;;1100
