Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;Power (kW)
0;0;0.09;100050;234.77;0.77;0.48;0.9977;2.00;0.02;0.10;-10;5.80;524.73;0.01;261.94;;;100.05
0;0;0.27;300080;125.53;0.85;0.73;0.9988;3.00;0.04;0.18;-10;9.08;586.81;0.01;578.15;;;300.08
0;0;0.45;500010;101.25;0.90;0.84;0.99931;3.62;0.05;0.23;-10;11.37;620.15;0.02;864.83;;;500.01
0;0;0.63;700000;90.41;0.94;0.91;0.99964;4.14;0.06;0.26;-10;13.36;643.64;0.02;1157.53;;;700
0;0;0.81;900000;84.92;0.97;0.96;0.9999;4.62;0.08;0.27;-10;15.26;664.18;0.02;1476.37;;;900
0;0;0.99;1100000;82.54;1.00;1.01;1.0001;5.04;0.09;0.28;-10;17.09;686.37;0.02;1820.26;;;1100
0;0;1.17;1300000;81.48;1.03;1.06;1.0003;5.45;0.11;0.28;-10;18.91;707.44;0.02;2195.63;;;1300
0;0.2;0.09;100020;232.13;0.77;0.48;0.9977;2.01;0.02;0.10;-10;5.81;525.17;0.01;128.27;;;100.02
0;0.2;0.27;300000;124.48;0.85;0.72;0.9988;3.01;0.04;0.19;-10;9.10;587.32;0.01;377.87;;;300
0;0.2;0.44;500000;100.55;0.90;0.84;0.99931;3.64;0.05;0.23;-10;11.39;620.92;0.02;623.10;;;500
0;0.2;0.62;700000;89.89;0.94;0.90;0.99964;4.15;0.06;0.26;-10;13.37;644.65;0.02;881.41;;;700
0;0.2;0.80;900000;84.39;0.97;0.96;0.9999;4.63;0.08;0.27;-10;15.28;664.70;0.02;1169.31;;;900
0;0.2;0.97;1100000;81.98;1.00;1.00;1.0001;5.06;0.09;0.28;-10;17.12;686.35;0.02;1486.45;;;1100
0;0.2;1.15;1300000;80.96;1.02;1.05;1.0003;5.47;0.11;0.29;-10;18.96;707.26;0.02;1835.53;;;1300
0;0.4;0.25;300000;121.18;0.84;0.69;0.9988;3.05;0.04;0.19;-10;9.14;588.93;0.01;175.28;;;300
0;0.4;0.42;500000;98.36;0.89;0.81;0.99931;3.67;0.05;0.24;-10;11.44;623.10;0.01;379.61;;;500
0;0.4;0.59;700000;88.21;0.93;0.88;0.99964;4.19;0.06;0.26;-10;13.42;647.07;0.02;604.35;;;700
0;0.4;0.75;900000;82.85;0.96;0.94;0.9999;4.68;0.07;0.28;-10;15.35;666.80;0.02;861.06;;;900
0;0.4;0.92;1100000;80.30;0.99;0.98;1.0001;5.13;0.09;0.29;-10;17.24;686.44;0.02;1152.74;;;1100
