Alt;mn;Throttle;Power;SFC;SFC (gr/MJ);Fuel flow (kg/s);TET (K);COT (K);Eta;P3 (bar);T3 (K);PCN HP;PCN LP;PCN PT;Residual Thrust (N)
0;0.3;0.45;900000;72.8219;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.5;1000000;70.9173;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.55;1100000;69.3389;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.6;1200000;68.0126;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.65;1300000;66.8807;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.7;1400000;65.8865;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.75;1500000;65.0629;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.8;1600000;64.3906;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.85;1700000;63.7892;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.9;1800000;63.2556;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.95;1900000;62.7979;0;0;0;0;0;0;0;0;0;0;1
0;0.3;1;2000000;62.421;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.047638095;100040;181.4904;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.095242857;200010;125.4418;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.142866667;300020;104.2738;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.190480952;400010;92.6341;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.238095238;500000;85.3071;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.285714286;600000;80.3489;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.333333333;700000;76.5691;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.380952381;800000;73.6146;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.428571429;900000;71.3032;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.476190476;1000000;69.4074;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.523809524;1100000;67.8888;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.571428571;1200000;66.6514;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.619047619;1300000;65.5843;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.666666667;1400000;64.6506;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.714285714;1500000;63.8498;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.761904762;1600000;63.1876;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.80952381;1700000;62.6321;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.857142857;1800000;62.1259;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.904761905;1900000;61.659;0;0;0;0;0;0;0;0;0;0;1
0;0.4;0.952380952;2000000;61.3301;0;0;0;0;0;0;0;0;0;0;1
0;0.4;1;2100000;61.0104;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.045472727;100040;172.1528;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.090922727;200030;120.2685;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.136368182;300010;100.2619;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.181822727;400010;89.4661;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.227272727;500000;82.4934;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.272727273;600000;77.7746;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.318181818;700000;74.2872;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.363636364;800000;71.5365;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.409090909;900000;69.3421;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.454545455;1000000;67.5808;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.5;1100000;66.0939;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.545454545;1200000;64.8916;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.590909091;1300000;63.9146;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.636363636;1400000;63.0585;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.681818182;1500000;62.3252;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.727272727;1600000;61.7057;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.772727273;1700000;61.1615;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.818181818;1800000;60.6856;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.863636364;1900000;60.2881;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.909090909;2000000;59.9597;0;0;0;0;0;0;0;0;0;0;1
0;0.5;0.954545455;2100000;59.663;0;0;0;0;0;0;0;0;0;0;1
0;0.5;1;2200000;59.4019;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.052652632;100040;193.8355;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.105278947;200030;132.2353;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.157905263;300020;109.3264;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.210531579;400010;96.8478;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.263157895;500000;89.1001;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.315789474;600000;83.6215;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.368421053;700000;79.5691;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.421052632;800000;76.4376;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.473684211;900000;74.0676;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.526315789;1000000;72.1115;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.578947368;1100000;70.4527;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.631578947;1200000;69.0845;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.684210526;1300000;67.9301;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.736842105;1400000;66.9569;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.789473684;1500000;66.1364;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.842105263;1600000;65.4533;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.894736842;1700000;64.8459;0;0;0;0;0;0;0;0;0;0;1
304.8;0;0.947368421;1800000;64.3009;0;0;0;0;0;0;0;0;0;0;1
304.8;0;1;1900000;63.8834;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.052647368;100030;192.8114;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.105278947;200030;131.6683;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.157905263;300020;108.8918;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.210531579;400010;96.4829;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.263157895;500000;88.7926;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.315789474;600000;83.35;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.368421053;700000;79.3198;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.421052632;800000;76.1892;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.473684211;900000;73.8396;0;0;0;0;0;0;0;0;0;0;1
