Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
0;0;0.036293394;100050;254.3765;0.64291;0.3105;0.99679;2.0064;0.02545;0.0911599;-10;4.37;481.13;0.014094;171.91;;;;100.05
0;0;0.108876555;300140;136.0949;0.76881;0.47544;0.99788;2.9988;0.040848;0.1703879;-10;6.8671;553.37;0.015134;381.87;;;;300.14
0;0;0.181459716;500230;105.6927;0.80475;0.58744;0.99839;3.6834;0.052871;0.2193996;-10;8.6437;583.93;0.015949;573.36;;;;500.23
0;0;0.253984837;700160;91.5193;0.83121;0.67266;0.99873;4.2348;0.064079;0.2533776;-10;10.137;605.03;0.016813;760.7;;;;700.16
0;0;0.326578881;900280;83.5923;0.85725;0.73734;0.99898;4.6911;0.075256;0.2774052;-10;11.451;623.18;0.017825;946.37;;;;900.28
0;0;0.399064098;1100100;78.4069;0.87754;0.79093;0.99918;5.1052;0.086254;0.2957511;-10;12.673;638.21;0.018773;1135.98;;;;1100.1
0;0;0.471578336;1300000;74.7472;0.89539;0.83128;0.99935;5.4902;0.097174;0.3102314;-10;13.83;651.02;0.019666;1330.89;;;;1300
0;0;0.54412885;1500000;72.0868;0.91318;0.86533;0.99949;5.853;0.10813;0.3216805;-10;14.943;662.5;0.020527;1532.32;;;;1500
0;0;0.616679363;1700000;70.0682;0.93066;0.89596;0.99961;6.203;0.11912;0.3309482;-10;16.03;673.04;0.021337;1741.7;;;;1700
0;0;0.689229876;1900000;68.4542;0.94645;0.91825;0.99973;6.5532;0.13006;0.3387513;-10;17.112;682.21;0.022053;1962.12;;;;1900
0;0;0.76178039;2100000;67.326;0.96044;0.94311;0.99983;6.8882;0.14138;0.3444276;-10;18.177;691.55;0.022806;2192.64;;;;2100
0;0;0.834330903;2300000;66.5356;0.97243;0.96703;0.99992;7.2036;0.15303;0.3485191;-10;19.216;701.18;0.023604;2429.86;;;;2300
0;0;0.906881416;2500000;66.0484;0.98515;0.98653;1;7.4957;0.16512;0.3510901;-10;20.225;711.39;0.024476;2672.45;;;;2500
0;0;0.979431929;2700000;65.7166;0.99744;1.0062;1.0001;7.7853;0.17743;0.3528628;-10;21.234;721.25;0.025323;2925.92;;;;2700
0;0;1.051982443;2900000;65.5187;1.0095;1.027;1.0001;8.0703;0.19;0.3539287;-10;22.24;730.9;0.02616;3189.09;;;;2900
0;0.2;0.035720661;100050;251.5238;0.63543;0.30685;0.99679;2.0185;0.025164;0.0921938;-10;4.3814;481.69;0.013852;37.54;;;;100.05
0;0.2;0.107129851;300060;134.9823;0.76613;0.46836;0.99788;3.0116;0.040503;0.1717924;-10;6.8802;554;0.014943;181.42;;;;300.06
0;0.2;0.17852119;500020;105.1911;0.8033;0.57708;0.99839;3.6886;0.052597;0.2204458;-10;8.649;585.22;0.015844;327.1;;;;500.02
0;0.2;0.249919669;700000;90.9958;0.82911;0.66297;0.99873;4.2459;0.063698;0.2548352;-10;10.149;605.91;0.016669;477.93;;;;700
0;0.2;0.321325288;900000;83.1312;0.85472;0.7248;0.99898;4.704;0.074818;0.2789437;-10;11.465;623.9;0.017672;633.28;;;;900
