Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
0;0;0.090118897;100050;209.3304;0.74817;0.44813;0.9977;1.3629;0.020943;0.1107767;-10;6.6322;563.08;0.017074;177.25;;;;100.05
0;0;0.270293641;300080;114.0569;0.83569;0.6946;0.9988;2.1319;0.034226;0.2033101;-10;10.77;631.32;0.017838;417.74;;;;300.08
0;0;0.45037831;500010;93.0298;0.89022;0.82732;0.99931;2.6328;0.046516;0.2492636;-10;13.768;669.2;0.019631;649.43;;;;500.01
0;0;0.630517024;700000;83.8292;0.9335;0.90348;0.99964;3.0568;0.058681;0.276621;-10;16.426;696.22;0.02133;895.27;;;;700
0;0;0.810664745;900000;79.1518;0.96881;0.96251;0.99989;3.4532;0.071237;0.2929679;-10;18.994;719.3;0.022922;1168.13;;;;900
0;0;0.990812466;1100000;77.2299;1.0005;1.0106;1.0001;3.7977;0.084953;0.3002583;-10;21.436;744.84;0.024855;1462.31;;;;1100
0;0;1.170960187;1300000;76.4433;1.0307;1.0622;1.0003;4.1306;0.099376;0.3033483;-10;23.871;769.05;0.026732;1784.37;;;;1300
0;0.2;0.088544618;100020;207.6842;0.74503;0.44164;0.9977;1.369;0.020773;0.1116548;-10;6.6448;563.52;0.01686;86.15;;;;100.02
0;0.2;0.265580737;300000;113.3995;0.83335;0.68629;0.9988;2.1378;0.03402;0.2044889;-10;10.783;632.03;0.017682;275.4;;;;300
0;0.2;0.442634561;500000;92.54;0.88835;0.81948;0.99931;2.6395;0.04627;0.2505828;-10;13.784;670;0.019478;473.84;;;;500
0;0.2;0.619688385;700000;83.4697;0.93111;0.8982;0.99964;3.0625;0.058429;0.2778126;-10;16.442;697.31;0.021199;691.4;;;;700
0;0.2;0.79674221;900000;78.7861;0.96741;0.95447;0.99989;3.4625;0.070907;0.2943277;-10;19.019;719.96;0.022754;938.38;;;;900
0;0.2;0.973796034;1100000;76.8085;0.99809;1.0036;1.0001;3.8139;0.084489;0.3019057;-10;21.481;744.73;0.024615;1210.9;;;;1100
0;0.2;1.150849858;1300000;76.0473;1.0279;1.0533;1.0003;4.1488;0.098862;0.3049277;-10;23.923;768.75;0.026477;1511.56;;;;1300
0;0.4;0.252887128;300000;111.4095;0.82721;0.65798;0.9988;2.154;0.033423;0.2081413;-10;10.819;634.37;0.017242;131.96;;;;300
0;0.4;0.421478547;500000;91.0737;0.8834;0.79234;0.99931;2.6591;0.045537;0.2546171;-10;13.832;672.38;0.019028;297.3;;;;500
0;0.4;0.590069965;700000;82.2783;0.92337;0.87412;0.99964;3.0845;0.057595;0.2818354;-10;16.498;699.73;0.020748;487.24;;;;700
0;0.4;0.758661384;900000;77.7154;0.96169;0.93287;0.99989;3.4881;0.069944;0.2983828;-10;19.089;722.37;0.022281;708.19;;;;900
