Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
0;0;0.060522654;100050;227.9166;0.68887;0.37918;0.9973;1.5339;0.022803;0.1017431;-10;4.4124;482.85;0.016517;168.64;;;;100.05
0;0;0.181561914;300140;121.5201;0.7989;0.59884;0.99839;2.3729;0.036473;0.1908239;-10;7.0881;549.42;0.017078;388.18;;;;300.14
0;0;0.302564878;500170;97.0373;0.84615;0.72612;0.9989;2.9132;0.048535;0.2389693;-10;8.9793;582.04;0.018512;591.47;;;;500.17
0;0;0.423465005;700030;86.2078;0.88245;0.81277;0.99924;3.3408;0.060348;0.2689889;-10;10.583;605.97;0.020071;795.42;;;;700.03
0;0;0.544431674;900000;80.0549;0.91159;0.8699;0.99949;3.7198;0.07205;0.2896627;-10;12.053;624.63;0.021521;1007.7;;;;900
0;0;0.66541649;1100000;76.1619;0.94;0.91286;0.99969;4.0757;0.083778;0.3044688;-10;13.461;640.38;0.02284;1232.98;;;;1100
0;0;0.786401307;1300000;73.7623;0.96405;0.95257;0.99986;4.417;0.095891;0.3143737;-10;14.846;655;0.024122;1476.47;;;;1300
0;0;0.907386123;1500000;72.4712;0.98504;0.98633;1;4.7216;0.10871;0.3199746;-10;16.172;670.74;0.025581;1730.63;;;;1500
0;0;1.028370939;1700000;71.7859;1.0055;1.0188;1.0001;5.0149;0.12204;0.3230289;-10;17.486;686.1;0.027039;2001.81;;;;1700
0;0.2;0.059461548;100050;225.3262;0.68358;0.3747;0.9973;1.5451;0.022544;0.1029127;-10;4.4263;483.23;0.016211;66.02;;;;100.05
0;0.2;0.178301438;300010;120.7636;0.79703;0.58923;0.99839;2.3806;0.03623;0.1920192;-10;7.0984;550.33;0.01691;229.7;;;;300.01
0;0.2;0.297159158;500000;96.4114;0.84366;0.71436;0.9989;2.9243;0.048206;0.2405206;-10;8.9947;582.59;0.018316;397.17;;;;500
0;0.2;0.416022822;700000;85.7091;0.8809;0.80384;0.99924;3.3518;0.059996;0.2705539;-10;10.599;606.74;0.019889;572.74;;;;700
0;0.2;0.534886485;900000;79.6232;0.90915;0.86232;0.99949;3.7317;0.071661;0.2912333;-10;12.071;625.38;0.021338;759.91;;;;900
0;0.2;0.653750149;1100000;75.8241;0.93761;0.90761;0.99969;4.0855;0.083406;0.3058254;-10;13.477;641.43;0.022684;961.47;;;;1100
0;0.2;0.772613812;1300000;73.3897;0.96259;0.94512;0.99986;4.4322;0.095407;0.3159698;-10;14.872;655.63;0.023918;1182.92;;;;1300
0;0.2;0.891477475;1500000;72.0574;0.9828;0.98063;1;4.7439;0.10809;0.3218121;-10;16.209;670.81;0.025316;1418.08;;;;1500
0;0.2;1.010341139;1700000;71.3964;1.0031;1.0118;1.0001;5.0387;0.12137;0.3247914;-10;17.527;686.1;0.026765;1670.39;;;;1700
0;0.4;0.169468452;300010;118.3394;0.79223;0.56158;0.99839;2.4036;0.035503;0.1959528;-10;7.13;553.17;0.016412;69.59;;;;300.01
0;0.4;0.282438005;500000;94.3878;0.83666;0.68777;0.9989;2.959;0.047194;0.2456771;-10;9.0433;584.36;0.017722;200.84;;;;500
0;0.4;0.395413207;700000;84.161;0.87554;0.77647;0.99924;3.3865;0.058913;0.2755305;-10;10.651;608.8;0.01933;348.54;;;;700
0;0.4;0.508388409;900000;78.3546;0.90377;0.8389;0.99949;3.7661;0.070519;0.2959485;-10;12.125;627.83;0.020807;510.97;;;;900
0;0.4;0.621363611;1100000;74.733;0.93016;0.8873;0.99969;4.1202;0.082206;0.3102904;-10;13.534;644.06;0.02217;689.62;;;;1100
0;0.4;0.734338813;1300000;72.3947;0.95576;0.92586;0.99986;4.4681;0.094113;0.3203124;-10;14.932;658.41;0.023405;888.38;;;;1300
0;0.4;0.847314015;1500000;70.9102;0.97736;0.96117;1;4.8016;0.10637;0.3270181;-10;16.306;671.9;0.024614;1105.13;;;;1500
0;0.4;0.960289217;1700000;70.2355;0.99634;0.9938;1.0001;5.1093;0.1194;0.3301599;-10;17.649;686.31;0.025967;1340.28;;;;1700
0;0.4;1.073264418;1900000;69.9826;1.0153;1.023;1.0002;5.4017;0.13297;0.3313526;-10;18.972;700.72;0.027352;1591.6;;;;1900
0;0.6;0.36481134;700000;81.4385;0.86361;0.72212;0.99924;3.4498;0.057007;0.2847417;-10;10.741;611.53;0.018364;117.55;;;;700
0;0.6;0.469043152;900000;76.1371;0.89621;0.79678;0.99949;3.8287;0.068523;0.3045683;-10;12.223;631.54;0.019886;256.19;;;;900
0;0.6;0.573274964;1100000;72.8055;0.92001;0.84962;0.99969;4.1851;0.080086;0.3185051;-10;13.638;647.96;0.021265;412.25;;;;1100
0;0.6;0.677506775;1300000;70.6983;0.94338;0.89306;0.99986;4.5297;0.091908;0.3279986;-10;15.033;662.8;0.022548;588.43;;;;1300
0;0.6;0.781738587;1500000;69.3308;0.96683;0.93126;1;4.8678;0.104;0.3344681;-10;16.419;676.4;0.023741;784.07;;;;1500
