Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
0;0.6;0.593683211;1500000;68.5295;0.92328;0.85046;0.99971;5.5456;0.10279;0.3383787;-10;17.171;694.72;0.020599;529.62;;;;1500
0;0.6;0.672840972;1700000;67.1189;0.94094;0.88435;0.99984;5.8971;0.1141;0.3454906;-10;18.501;706.51;0.021501;700.08;;;;1700
0;0.6;0.751998733;1900000;66.1185;0.95879;0.91546;0.99995;6.2415;0.12563;0.3507177;-10;19.821;717.66;0.022368;885.12;;;;1900
0;0.6;0.831156495;2100000;65.3683;0.97534;0.94066;1;6.5884;0.13727;0.3547426;-10;21.15;727.64;0.023153;1085.22;;;;2100
0;0.6;0.910314256;2300000;64.9054;0.98993;0.96394;1.0001;6.9299;0.14928;0.357273;-10;22.477;737.27;0.023938;1300.92;;;;2300
0;0.6;0.989472018;2500000;64.6894;1.0021;0.98949;1.0002;7.2546;0.16172;0.3584655;-10;23.782;747.35;0.024774;1529.48;;;;2500
0;0.6;1.068629779;2700000;64.7074;1.015;1.0112;1.0003;7.5606;0.17471;0.358366;-10;25.064;757.95;0.025678;1770.65;;;;2700
1000;0;0.04816527;100020;227.339;0.67608;0.35048;0.99701;1.6881;0.022739;0.1020016;-10;4.4994;497.42;0.014967;166.47;;;;100.02
1000;0;0.144476548;300020;122.673;0.7806;0.54228;0.9981;2.5704;0.036804;0.1890304;-10;7.1703;567.46;0.01591;378.82;;;;300.02
1000;0;0.240783011;500010;96.5534;0.81948;0.66812;0.99861;3.1858;0.048277;0.2401669;-10;9.1121;598.03;0.016838;578.64;;;;500.01
1000;0;0.337089473;700000;85.1546;0.85513;0.7572;0.99895;3.6625;0.059608;0.2723155;-10;10.739;622.27;0.018084;776.36;;;;700
1000;0;0.433400751;900000;78.6126;0.88128;0.8182;0.9992;4.0798;0.070751;0.2949772;-10;12.212;640.87;0.019269;979.22;;;;900
1000;0;0.529712029;1100000;74.4617;0.90593;0.86542;0.9994;4.4648;0.081908;0.3114208;-10;13.607;656.69;0.020384;1191.85;;;;1100
1000;0;0.626023307;1300000;71.586;0.92929;0.90181;0.99957;4.8355;0.093062;0.3239311;-10;14.963;670.33;0.021384;1417.03;;;;1300
1000;0;0.722334585;1500000;69.6647;0.94987;0.93613;0.99971;5.1946;0.1045;0.3328651;-10;16.303;683.07;0.022352;1657.92;;;;1500
1000;0;0.818645863;1700000;68.5635;0.96732;0.96684;0.99984;5.5186;0.11656;0.3382109;-10;17.59;696.98;0.023468;1908.15;;;;1700
1000;0;0.914957141;1900000;67.9348;0.9848;0.99425;0.99995;5.8264;0.12908;0.3413409;-10;18.855;710.91;0.024615;2170.95;;;;1900
1000;0;1.01126842;2100000;67.5991;1.0017;1.0232;1;6.1283;0.14196;0.3430362;-10;20.117;724.35;0.025737;2448.68;;;;2100
1000;0.2;0.047416327;100020;224.9532;0.6704;0.34616;0.99701;1.6982;0.0225;0.1030834;-10;4.5109;497.77;0.014721;54.81;;;;100.02
1000;0.2;0.142230018;300020;121.9592;0.7788;0.5332;0.9981;2.5762;0.03659;0.1901368;-10;7.1778;568.5;0.015781;209.08;;;;300.02
1000;0.2;0.237038968;500010;95.967;0.8173;0.65958;0.99861;3.1948;0.047984;0.2416345;-10;9.1241;598.8;0.016688;368.46;;;;500.01
1000;0.2;0.331847919;700000;84.6791;0.85256;0.74618;0.99895;3.6722;0.059276;0.2738447;-10;10.752;622.98;0.017935;534.82;;;;700
1000;0.2;0.42666161;900000;78.2071;0.87948;0.81047;0.9992;4.0903;0.070386;0.2965068;-10;12.228;641.73;0.01912;710.33;;;;900
1000;0.2;0.521475301;1100000;74.1044;0.90341;0.85752;0.9994;4.4758;0.081515;0.3129224;-10;13.623;657.52;0.020236;897.75;;;;1100
1000;0.2;0.616288992;1300000;71.3015;0.92698;0.89639;0.99957;4.8438;0.092692;0.3252236;-10;14.977;671.52;0.021262;1098.34;;;;1300
